beak	block	model	body_part
0	1	CO	N
0	1	UV	N
0	1	SO	N
0	1	C	N
0	1	CO	N
0	1	UV	N
0	1	SO	N
0	1	C	N
0	1	CO	N
1	1	UV	W
0	1	SO	N
0	1	C	N
0	1	CO	N
0	1	UV	N
0	1	SO	N
0	1	C	N
0	1	CO	N
0	1	UV	N
0	1	SO	N
0	1	C	N
0	2	CO	N
0	2	UV	N
0	2	SO	N
0	2	C	N
0	2	CO	N
0	2	UV	N
0	2	SO	N
0	2	C	N
0	2	CO	N
0	2	UV	N
0	2	SO	N
0	2	C	N
0	2	CO	N
0	2	UV	N
0	2	SO	N
0	2	C	N
0	2	CO	N
0	2	UV	N
0	2	SO	N
0	2	C	N
0	3	CO	N
0	3	UV	N
0	3	SO	N
0	3	C	N
0	3	CO	N
0	3	UV	N
0	3	SO	N
0	3	C	N
1	3	CO	B
0	3	UV	N
0	3	SO	N
0	3	C	N
0	3	CO	N
0	3	UV	N
0	3	SO	N
0	3	C	N
0	3	CO	N
0	3	UV	N
0	3	SO	N
0	3	C	N
0	4	CO	N
0	4	UV	N
0	4	SO	N
0	4	C	N
0	4	CO	N
0	4	UV	N
0	4	SO	N
0	4	C	N
0	4	CO	N
0	4	UV	N
0	4	SO	N
0	4	C	N
0	4	CO	N
0	4	UV	N
0	4	SO	N
0	4	C	N
0	4	CO	N
0	4	UV	N
0	4	SO	N
0	4	C	N
0	5	CO	N
0	5	UV	N
0	5	SO	N
0	5	C	N
0	5	CO	N
0	5	UV	N
0	5	SO	N
0	5	C	N
0	5	CO	N
0	5	UV	N
0	5	SO	N
0	5	C	N
0	5	CO	N
0	5	UV	N
0	5	SO	N
0	5	C	N
0	5	CO	N
0	5	UV	N
0	5	SO	N
0	5	C	N
0	6	CO	N
0	6	UV	N
0	6	SO	N
0	6	C	N
0	6	CO	N
0	6	UV	N
0	6	SO	N
0	6	C	N
0	6	CO	N
0	6	UV	N
0	6	SO	N
0	6	C	N
0	6	CO	N
0	6	UV	N
0	6	SO	N
0	6	C	N
0	6	CO	N
0	6	UV	N
0	6	SO	N
0	6	C	N
0	7	CO	N
0	7	UV	N
0	7	SO	N
0	7	C	N
0	7	CO	N
0	7	UV	N
0	7	SO	N
0	7	C	N
0	7	CO	N
0	7	UV	N
0	7	SO	N
0	7	C	N
0	7	CO	N
0	7	UV	N
0	7	SO	N
0	7	C	N
0	7	CO	N
0	7	UV	N
0	7	SO	N
0	7	C	N
0	8	CO	N
0	8	UV	N
0	8	SO	N
0	8	C	N
0	8	CO	N
0	8	UV	N
0	8	SO	N
0	8	C	N
0	8	CO	N
0	8	UV	N
0	8	SO	N
0	8	C	N
0	8	CO	N
0	8	UV	N
0	8	SO	N
0	8	C	N
0	8	CO	N
0	8	UV	N
0	8	SO	N
0	8	C	N
1	9	CO	W
1	9	UV	W
0	9	SO	N
0	9	C	N
0	9	CO	N
0	9	UV	N
0	9	SO	N
0	9	C	N
0	9	CO	N
0	9	UV	N
0	9	SO	N
0	9	C	N
0	9	CO	N
0	9	UV	N
0	9	SO	N
0	9	C	N
0	9	CO	N
0	9	UV	N
0	9	SO	N
0	9	C	N
0	10	CO	N
0	10	UV	N
0	10	SO	N
0	10	C	N
0	10	CO	N
0	10	UV	N
0	10	SO	N
0	10	C	N
0	10	CO	N
0	10	UV	N
0	10	SO	N
0	10	C	N
0	10	CO	N
0	10	UV	N
0	10	SO	N
0	10	C	N
0	10	CO	N
0	10	UV	N
0	10	SO	N
0	10	C	N
0	11	CO	N
0	11	UV	N
0	11	SO	N
0	11	C	N
0	11	CO	N
0	11	UV	N
0	11	SO	N
0	11	C	N
0	11	CO	N
0	11	UV	N
0	11	SO	N
0	11	C	N
0	11	CO	N
0	11	UV	N
0	11	SO	N
0	11	C	N
0	11	CO	N
0	11	UV	N
0	11	SO	N
0	11	C	N
0	12	CO	N
0	12	UV	N
0	12	SO	N
0	12	C	N
0	12	CO	N
0	12	UV	N
0	12	SO	N
0	12	C	N
0	12	CO	N
0	12	UV	N
0	12	SO	N
0	12	C	N
0	12	CO	N
0	12	UV	N
0	12	SO	N
0	12	C	N
0	12	CO	N
0	12	UV	N
0	12	SO	N
0	12	C	N
0	13	CO	N
0	13	UV	N
0	13	SO	N
0	13	C	N
0	13	CO	N
0	13	UV	N
0	13	SO	N
0	13	C	N
0	13	CO	N
0	13	UV	N
0	13	SO	N
0	13	C	N
0	13	CO	N
0	13	UV	N
0	13	SO	N
0	13	C	N
0	13	CO	N
0	13	UV	N
0	13	SO	N
0	13	C	N
0	14	CO	N
0	14	UV	N
0	14	SO	N
0	14	C	N
0	14	CO	N
0	14	UV	N
0	14	SO	N
0	14	C	N
1	14	CO	W
0	14	UV	N
0	14	SO	N
0	14	C	N
0	14	CO	N
0	14	UV	N
0	14	SO	N
0	14	C	N
0	14	CO	N
0	14	UV	N
0	14	SO	N
0	14	C	N
0	15	CO	N
0	15	UV	N
0	15	SO	N
0	15	C	N
0	15	CO	N
0	15	UV	N
0	15	SO	N
0	15	C	N
0	15	CO	N
0	15	UV	N
0	15	SO	N
0	15	C	N
0	15	CO	N
0	15	UV	N
0	15	SO	N
0	15	C	N
0	15	CO	N
0	15	UV	N
0	15	SO	N
0	15	C	N
0	16	CO	N
0	16	UV	N
0	16	SO	N
1	16	C	B
0	16	CO	N
0	16	UV	N
0	16	SO	N
0	16	C	N
0	16	CO	N
0	16	UV	N
0	16	SO	N
0	16	C	N
0	16	CO	N
0	16	UV	N
0	16	SO	N
0	16	C	N
0	16	CO	N
0	16	UV	N
0	16	SO	N
0	16	C	N
0	17	CO	N
0	17	UV	N
0	17	SO	N
1	17	C	W
0	17	CO	N
0	17	UV	N
0	17	SO	N
0	17	C	N
0	17	CO	N
0	17	UV	N
0	17	SO	N
0	17	C	N
0	17	CO	N
0	17	UV	N
0	17	SO	N
1	17	C	B
0	17	CO	N
0	17	UV	N
0	17	SO	N
0	17	C	N
0	18	CO	N
0	18	UV	N
0	18	SO	N
0	18	C	N
0	18	CO	N
0	18	UV	N
0	18	SO	N
0	18	C	N
0	18	CO	N
0	18	UV	N
0	18	SO	N
0	18	C	N
0	18	CO	N
0	18	UV	N
0	18	SO	N
0	18	C	N
0	18	CO	N
0	18	UV	N
0	18	SO	N
0	18	C	N
0	19	CO	N
0	19	UV	N
0	19	SO	N
0	19	C	N
0	19	CO	N
0	19	UV	N
0	19	SO	N
0	19	C	N
0	19	CO	N
0	19	UV	N
0	19	SO	N
0	19	C	N
0	19	CO	N
0	19	UV	N
0	19	SO	N
0	19	C	N
0	19	CO	N
0	19	UV	N
0	19	SO	N
0	19	C	N
0	20	CO	N
0	20	UV	N
0	20	SO	N
0	20	C	N
0	20	CO	N
0	20	UV	N
0	20	SO	N
0	20	C	N
0	20	CO	N
0	20	UV	N
0	20	SO	N
0	20	C	N
0	20	CO	N
0	20	UV	N
0	20	SO	N
0	20	C	N
0	20	CO	N
0	20	UV	N
0	20	SO	N
0	20	C	N
0	21	CO	N
0	21	UV	N
0	21	SO	N
0	21	C	N
0	21	CO	N
0	21	UV	N
0	21	SO	N
0	21	C	N
0	21	CO	N
0	21	UV	N
0	21	SO	N
0	21	C	N
0	21	CO	N
0	21	UV	N
0	21	SO	N
0	21	C	N
0	21	CO	N
0	21	UV	N
0	21	SO	N
0	21	C	N
0	22	CO	N
0	22	UV	N
0	22	SO	N
0	22	C	N
0	22	CO	N
0	22	UV	N
0	22	SO	N
0	22	C	N
0	22	CO	N
0	22	UV	N
0	22	SO	N
0	22	C	N
0	22	CO	N
0	22	UV	N
0	22	SO	N
0	22	C	N
0	22	CO	N
0	22	UV	N
0	22	SO	N
0	22	C	N
0	23	CO	N
0	23	UV	N
0	23	SO	N
1	23	C	B
0	23	CO	N
0	23	UV	N
0	23	SO	N
0	23	C	N
0	23	CO	N
0	23	UV	N
0	23	SO	N
0	23	C	N
0	23	CO	N
0	23	UV	N
0	23	SO	N
0	23	C	N
0	23	CO	N
0	23	UV	N
0	23	SO	N
0	23	C	N
0	24	CO	N
