block	factor	NC	WE	CM	UV
1	B	0	0	0	0
1	N	0	0	0	0
1	W	0	0	0	1
2	W	0	0	0	0
2	N	0	0	0	0
2	B	0	0	0	0
3	B	0	1	0	0
3	N	0	0	0	0
3	W	0	0	0	0
4	N	0	0	0	0
4	B	0	0	0	0
4	W	0	0	0	0
5	N	0	0	0	0
5	B	0	0	0	0
5	W	0	0	0	0
6	N	0	0	0	0
6	B	0	0	0	0
6	W	0	0	0	0
7	N	0	0	0	0
7	B	0	0	0	0
7	W	0	0	0	0
8	N	0	0	0	0
8	B	0	0	0	0
8	W	0	0	0	0
9	N	0	0	0	0
9	W	0	1	0	1
9	B	0	0	0	0
10	N	0	0	0	0
10	B	0	0	0	0
10	W	0	0	0	0
11	N	0	0	0	0
11	B	0	0	0	0
11	W	0	0	0	0
12	N	0	0	0	0
12	B	0	0	0	0
12	W	0	0	0	0
13	N	0	0	0	0
13	B	0	0	0	0
13	W	0	0	0	0
14	N	0	0	0	0
14	W	0	1	0	0
14	B	0	0	0	0
15	N	0	0	0	0
15	B	0	0	0	0
15	W	0	0	0	0
16	B	1	0	0	0
16	N	0	0	0	0
16	W	0	0	0	0
17	B	1	0	0	0
17	N	0	0	0	0
17	W	1	0	0	0
18	B	0	0	0	0
18	N	0	0	0	0
18	W	0	0	0	0
19	B	0	0	0	0
19	N	0	0	0	0
19	W	0	0	0	0
20	B	0	0	0	0
20	N	0	0	0	0
20	W	0	0	0	0
21	B	0	0	0	0
21	N	0	0	0	0
21	W	0	0	0	0
22	B	0	0	0	0
22	N	0	0	0	0
22	W	0	0	0	0
23	B	1	0	0	0
23	N	0	0	0	0
23	W	0	0	0	0
24	B	0	0	0	0
24	N	0	0	0	0
24	W	0	0	0	0
25	N	0	0	0	0
25	B	0	0	0	0
25	W	0	0	0	0
26	N	0	0	0	0
26	B	0	0	0	0
26	W	0	0	0	0
27	N	0	0	0	0
27	B	0	0	0	0
27	W	0	0	0	0
28	N	0	0	0	0
28	W	0	1	0	0
28	B	0	0	0	0
29	B	0	1	0	0
29	N	0	0	0	0
29	W	0	1	0	1
30	B	0	0	0	0
30	N	0	0	0	0
30	W	0	1	0	0
31	B	0	0	0	0
31	N	0	0	0	0
31	W	0	0	0	1
32	B	0	0	0	0
32	N	0	0	0	0
32	W	0	0	0	0
33	B	0	0	0	0
33	N	0	0	0	0
33	W	0	0	0	0
34	B	0	0	0	1
34	N	0	0	0	0
34	W	0	0	0	0
35	N	0	0	0	0
35	B	0	0	0	0
35	W	0	0	0	0
36	N	0	0	0	0
36	W	0	0	0	1
36	B	0	0	0	0
37	B	1	0	0	0
37	N	0	0	0	0
37	W	0	0	0	0
38	N	0	0	0	0
38	W	0	0	0	0
38	B	0	0	0	0
39	B	1	0	0	0
39	N	0	0	0	0
39	W	0	1	1	0
40	W	0	0	0	0
40	B	1	0	1	0
40	N	0	0	0	0
41	B	1	0	0	1
41	N	0	0	0	0
41	W	1	1	0	0
42	B	0	1	0	0
42	N	0	0	0	0
42	W	0	1	0	0
43	B	0	0	0	0
43	N	0	0	0	0
43	W	0	0	0	0
44	N	0	0	0	0
44	W	0	0	0	0
44	B	0	0	0	0
45	B	0	0	0	0
45	N	0	0	0	0
45	W	0	0	0	0
46	B	0	1	0	1
46	N	0	0	0	0
46	W	1	0	0	1
47	B	0	0	0	0
47	N	0	0	0	0
47	W	0	0	0	0
48	N	0	0	0	0
48	B	0	0	0	0
48	W	0	0	0	0
49	B	0	0	1	0
49	N	0	0	0	0
49	W	0	0	0	0
50	B	0	0	0	1
50	N	0	0	0	0
50	W	0	1	0	1
